회사명,거래소코드,회계년도,회계년월,회계감사법인,회계년월,기수,감사인,비고,보수(천원),시간구분,총소요시간,내용,회계년월,기수,비고,내용,용역수행기간,보수(천원),계약일
(주)모토닉,009680,2019/12,2019/12,한영회계법인,2019/12,46,한영회계법인,,85000,10,1437,"반기검토, 중간감사, 결산감사, 연결감사 내부회계관리제도 검토",2019/12,46,성공보수,세무자문 용역,2019년11월~용역종료시까지,0,20191118
(주)모토닉,009680,2019/12,2019/12,한영회계법인,2019/12,46,한영회계법인,,85000,10,1437,"반기검토, 중간감사, 결산감사, 연결감사 내부회계관리제도 검토",2019/12,46,,세무조정 업무,2020년1월~2020년3월,7000,20191216
(주)모토조이,008120,2004/12,,,,,,,,,,,,,,,,,
(주)무학,033920,2019/12,2019/12,대주회계법인,2019/12,47,대주회계법인,,65000,10,1761,회계감사(연결포함),2019/12,47,,- 법인세 세무조정 용역계약서,2019.04.01~2020.03.31,7000,20190430
(주)미래아이앤지,007120,2019/12,2019/12,제원회계법인,2019/12,49,제원회계법인,,80000,10,657,"반기검토,중간감사,결산감사,내부회계관리제도검토",,,,,,,
(주)바로크가구,017120,2000/12,,,,,,,,,,,,,,,,,
(주)방림,003610,2019/09,2019/09,신한회계법인,2019/09,58,신한회계법인,,70000,10,1106,반기재무재표에 대한 검토 별도재무제표에 대한 감사 연결재무제표에 대한 감사,,,,,,,
(주)배명금속,011800,2011/12,,,,,,,,,,,,,,,,,
(주)백광소재,014580,2019/12,2019/12,삼덕회계법인,2019/12,40,삼덕회계법인,(연간),110000,10,1102,반기 개별 및 연결재무제표 검토 개별 및 연결재무제표 감사 내부회계관리 검토,,,,,,,
(주)백산,035150,2019/12,2019/12,한영회계법인,2019/12,34,한영회계법인,,165000,10,2001,"반기 연결.별도재무제표 검토, 기말 연결.별도재무제표 감사, 중간감사, 내부회계관리검토",,,,,,,
(주)베네데스하이텍,009360,2004/12,,,,,,,,,,,,,,,,,
(주)벽산,007210,2019/12,2019/12,정인회계법인,2019/12,49,정인회계법인,,60000,10,997,반기 별도 및 연결재무제표 검토 별도 및 연결 재무제표 감사,,,,,,,
(주)보락,002760,2019/12,2019/12,한울회계법인,2019/12,57,한울회계법인,,63000,10,481,2019년도 재무제표 검토 및 감사,,,,,,,
(주)보루네오가구,004740,2016/12,,,,,,,,,,,,,,,,,
(주)봉신,005350,2010/12,,,,,,,,,,,,,,,,,
(주)부산도시가스,015350,2019/12,2019/12,삼일회계법인,2019/12,39,삼일회계법인,"1분기-175,반기-225,3분기-200,4분기-813",139000,10,1413,1분기 재무제표 검토 반기 재무제표 검토 3분기 재무제표 검토 기말 재무제표 검토 내부회계관리제도 검토,,,,,,,
(주)부흥,003930,2003/12,,,,,,,,,,,,,,,,,
(주)비상교육,100220,2019/12,2019/12,한영회계법인,2019/12,18,한영회계법인,,110000,10,1783,반기재무제표 검토 및 결산재무제표 감사,,,,,,,
(주)비에이치케이,003990,2008/12,,,,,,,,,,,,,,,,,
(주)비와이씨,001460,2019/12,2019/12,제원회계법인,2019/12,65,제원회계법인,,120000,10,1824,분ㆍ반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사,2019/12,65,,세무자문용역,2019.1-2019.12,14190,20200300
(주)비지에프,027410,2019/12,2019/12,삼정회계법인,2019/12,26,삼정회계법인,,195000,10,1372,별도 및 연결 재무제표 검토 및 감사 (분반기검토 및 온기),,,,,,,
